date_added,week,category,consolidated_title,weekly_rank,cumulative_weeks_in_top_10,weekly_hours_viewed,imdb_rating,runtime
19-04-2022,17-04-2022,TV (English),Jimmy Savile: A British Horror Story: Limited Series,9,2,11410000.0,6.7,170
10-05-2022,08-05-2022,TV (Non-English),Pedro el escamoso: Season 1,7,3,10080000.0,7.5,60
05-04-2022,03-04-2022,TV (Non-English),All of Us Are Dead: Season 1,7,10,9430000.0,7.6,60
26-04-2022,24-04-2022,Films (Non-English),One Piece Film Z,5,1,2220000.0,7.9,108
31-05-2022,29-05-2022,TV (English),The Circle: Season 4,10,3,10260000.0,5.4,48
31-05-2022,29-05-2022,Films (English),Ben Is Back,10,1,4610000.0,6.7,103
05-04-2022,03-04-2022,Films (Non-English),Without Saying Goodbye,5,3,3500000.0,7.0,125
19-04-2022,17-04-2022,TV (Non-English),Twenty Five Twenty One: Season 1,3,8,14080000.0,8.9,70
05-04-2022,03-04-2022,Films (Non-English),Ya veremos,4,1,3850000.0,7.0,125
31-05-2022,29-05-2022,TV (Non-English),Our Blues: Season 1,7,5,12720000.0,8.3,60
31-05-2022,29-05-2022,Films (Non-English),Toscana,3,2,14000000.0,5.8,90
03-05-2022,01-05-2022,TV (English),Selling Sunset: Season 5,2,2,34310000.0,6.5,30
24-05-2022,22-05-2022,Films (Non-English),Cyber Hell: Exposing an Internet Horror,8,1,6406950.0,6.5,105
19-04-2022,17-04-2022,Films (English),Cleaner,9,1,6770000.0,6.1,88
28-06-2022,26-06-2022,TV (Non-English),Maldivas: Season 1,10,2,8460000.0,5.6,30
10-05-2022,08-05-2022,TV (Non-English),The Sound of Magic: Season 1,8,1,9640000.0,7.0,60
31-05-2022,29-05-2022,Films (Non-English),F*ck Love Too,2,2,15600000.0,7.0,125
03-05-2022,01-05-2022,TV (English),Ozark: Season 4,1,8,78400000.0,8.5,60
26-04-2022,24-04-2022,TV (Non-English),Hold Tight: Limited Series,6,1,17320000.0,7.0,60
05-04-2022,03-04-2022,TV (Non-English),Twenty Five Twenty One: Season 1,2,6,26210000.0,8.9,70
10-05-2022,08-05-2022,TV (English),Ozark: Season 1,7,4,13640000.0,8.5,60
03-05-2022,01-05-2022,Films (English),Silverton Siege,2,1,20280000.0,6.1,100
28-06-2022,26-06-2022,TV (Non-English),The War Next-door: Season 2,6,2,10150000.0,5.7,60
26-04-2022,24-04-2022,TV (Non-English),Café con aroma de mujer: Season 1,10,17,10390000.0,7.6,45
12-04-2022,10-04-2022,Films (Non-English),Dasvi,4,1,5690000.0,7.5,125
17-05-2022,15-05-2022,Films (Non-English),Raw (Hindi),5,1,4790000.0,7.0,125
07-06-2022,05-06-2022,Films (English),Sonic the Hedgehog,8,6,6500000.0,6.5,99
19-04-2022,17-04-2022,Films (English),Metal Lords,5,1,8740000.0,6.7,97
21-06-2022,19-06-2022,TV (Non-English),Maldivas: Season 1,5,1,11300000.0,5.6,30
14-06-2022,12-06-2022,TV (English),Stranger Things,3,4,50290000.0,8.7,51
05-04-2022,03-04-2022,Films (Non-English),Forever Out of My League,9,1,2770000.0,7.0,125
17-05-2022,15-05-2022,TV (Non-English),Tomorrow: Season 1,9,1,9690000.0,7.6,60
14-06-2022,12-06-2022,TV (Non-English),Our Blues: Season 1,5,7,14910000.0,8.3,60
07-06-2022,05-06-2022,Films (Non-English),Luccas Neto em: O Plano dos Vilões,7,1,2490000.0,7.0,125
12-04-2022,10-04-2022,Films (English),How It Ends,8,1,5650000.0,5.0,113
24-05-2022,22-05-2022,TV (English),The Lincoln Lawyer: Season 1,1,2,163090500.0,7.3,118
31-05-2022,29-05-2022,Films (English),Turbo,8,1,5310000.0,6.4,96
07-06-2022,05-06-2022,TV (Non-English),Business Proposal: Season 1,10,13,8270000.0,8.8,60
21-06-2022,19-06-2022,Films (English),Collision,6,1,12960000.0,3.8,106
17-05-2022,15-05-2022,Films (English),Along for the Ride,4,2,13310000.0,6.4,106
17-05-2022,15-05-2022,Films (English),Men in Black: International,10,2,4650000.0,5.6,114
19-04-2022,17-04-2022,TV (English),Queen of the South: Season 5,7,2,13100000.0,8.0,42
24-05-2022,22-05-2022,Films (English),Marmaduke,7,3,14984150.0,4.3,88
28-06-2022,26-06-2022,Films (Non-English),CBI 5: The Brain,8,3,1770000.0,7.0,125
28-06-2022,26-06-2022,TV (Non-English),Our Blues: Season 1,8,9,9250000.0,8.3,60
05-04-2022,03-04-2022,Films (English),Blade Runner 2049,6,1,7850000.0,8.0,164
21-06-2022,19-06-2022,Films (Non-English),Heart Parade,3,1,12400000.0,7.0,125
31-05-2022,29-05-2022,Films (English),Top Gun,6,1,6440000.0,6.9,110
03-05-2022,01-05-2022,TV (Non-English),Yakamoz S-245: Season 1,5,2,13000000.0,6.1,45
19-04-2022,17-04-2022,TV (English),Anatomy of a Scandal: Limited Series,3,1,40280000.0,7.0,268
05-04-2022,03-04-2022,Films (English),The Adam Project,1,4,17720000.0,7.0,106
03-05-2022,01-05-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",8,21,9800000.0,8.2,30
03-05-2022,01-05-2022,TV (Non-English),The 7 Lives of Lea: Season 1,6,1,11230000.0,7.0,60
07-06-2022,05-06-2022,TV (Non-English),"Yo soy Betty, la fea: Season 1",7,25,9400000.0,8.2,30
05-04-2022,03-04-2022,Films (English),The Blind Side,4,1,9880000.0,7.6,129
17-05-2022,15-05-2022,Films (English),Senior Year,1,1,55940000.0,5.5,111
17-05-2022,15-05-2022,Films (Non-English),Honeymoon with My Mother,4,3,6450000.0,7.0,125
